FullTitle,CurrentCoords_x,CurrentCoords_y,ArmySize,HomeCoords_x,HomeCoords_y,State,Energy,Despondency,Recklessness,Liege,Foe,CharFlags1_LookDirection,CharFlags1_TimeOfDay,CharFlags2_orders,CharFlags3_InBattle,CharFlags3_InTunnel,CharFlags3_KilledFoe,CharFlags3_Loyalty,CharFlags3_UsedObject,CharFlags3_WonBattle
Sigrorn the Icelord,26,22,970,28,17,Alive,255,250,150,Malorthand the Icelord,Ulformane the Giant,SW,Dawn,10,False,False,False,Heartstealer,False,False
Hagudrak the Icelord,45,30,1100,37,18,Alive,239,250,170,Berudrarg the Icelord,Thorthand the Fey,S,25,10,False,False,False,Heartstealer,False,False
Berudrarg the Icelord,47,35,1000,44,19,Alive,205,250,180,Glireon the Icelord,Luxor the Moonprince,S,Night,10,False,False,False,Heartstealer,False,False
Imgudrorn the Icelord,49,29,1050,59,19,Alive,215,250,180,Talorthane the Icelord,Berormorn the Fey,SW,Night,10,False,False,False,Heartstealer,False,False
Talorthane the Icelord,47,39,1000,53,20,Alive,208,250,200,Fangrorn the Icelord,Imgormand the Fey,S,Night,10,False,False,False,Heartstealer,False,False
Morangrim the Icelord,22,26,975,30,21,Alive,255,250,160,Malorthand the Icelord,Ganigrorn the Giant,SW,Dawn,10,False,False,False,Heartstealer,False,False
Obortharg the Giant,17,29,1050,11,22,Alive,251,244,180,Obigrorn the Giant,Sigrorn the Icelord,W,11,13,False,False,False,Giants,False,False
Glortheon the Giant,16,24,1030,26,22,Alive,231,226,200,Varangrim the Giant,Malorthand the Icelord,S,Night,13,False,False,False,Giants,False,False
Ulfangruk the Icelord,47,34,1030,37,22,Alive,239,250,190,Berudrarg the Icelord,Carorthorn the Fey,S,Night,11,False,False,False,Heartstealer,False,False
Malarorn the Icelord,47,35,1000,42,22,Alive,240,250,170,Berudrarg the Icelord,Berormane the Fey,S,Night,10,False,False,False,Heartstealer,False,False
Ganormarg the Icelord,47,37,1030,61,23,Alive,195,250,180,Talorthane the Icelord,Carorthand the Fey,S,Night,10,False,False,False,Heartstealer,False,False
Berorthim the Giant,17,29,1050,6,25,Alive,235,202,150,Obigrorn the Giant,Thangrarg the Icelord,NW,12,13,False,False,False,Giants,False,False
Firim the Icelord,47,37,1030,55,25,Alive,211,250,160,Ganormarg the Icelord,Tororthane the Fey,S,Night,10,False,False,False,Heartstealer,False,False
Glireon the Icelord,47,39,1000,47,26,Alive,220,250,190,Fangrorn the Icelord,Lorangrim the Fey,N,Night,10,False,False,False,Heartstealer,False,False
Kahangriel the Icelord,45,30,1050,31,27,Alive,223,250,170,Imgasharg the Icelord,Thigrand the Fey,SE,28,10,False,False,False,Heartstealer,False,False
Kahudruk the Icelord,47,34,1030,59,27,Alive,205,250,150,Ganormarg the Icelord,Tharand the Fey,S,Night,10,False,False,False,Heartstealer,False,False
Lororthane the Icelord,47,39,1000,38,28,Alive,240,250,180,Thangrarg the Icelord,Obireon the Fey,S,29,10,False,False,False,Heartstealer,False,False
Malirane the Icelord,35,42,920,46,28,Alive,234,250,190,Glormarg the Icelord,Lorangrarg the Dwarf,SW,Night,10,False,False,False,Heartstealer,False,False
Kahudrun the Icelord,45,30,1000,28,29,Alive,239,250,200,Imgasharg the Icelord,Carorthane the Fey,S,25,10,False,False,False,Heartstealer,False,False
Ulformane the Giant,17,37,1080,24,30,Alive,239,250,190,Imgenarg the Giant,Thortheon the Barbarian,SW,Night,13,False,False,False,Giants,False,False
Hagildrorn the Dwarf,22,45,1000,31,30,Alive,95,202,180,Imgorarg the Dwarf,Berorthim the Giant,SW,30,15,False,False,False,Dwarfs,False,False
Thildresh the Icelord,35,42,1015,42,30,Alive,231,250,150,Glormarg the Icelord,Ulfangrak the Dwarf,SW,Night,10,False,False,False,Heartstealer,False,False
Glormarg the Icelord,31,46,1000,46,31,Alive,243,250,200,Shareth the Heartstealer,Glormane the Dwarf,SW,Night,10,False,False,False,Heartstealer,False,False
Carorand the Icelord,49,40,1030,56,31,Alive,231,250,140,Carangresh the Icelord,Glortharg the Barbarian,W,Night,10,False,False,False,Heartstealer,False,False
Carangrane the Giant,16,42,1000,6,32,Alive,251,238,200,-,Glireon the Icelord,SE,Dawn,13,False,False,False,Giants,False,False
Thangrorn the Giant,11,42,1050,2,33,Alive,235,232,160,Carangrane the Giant,Hagudril the Dwarf,SE,Night,13,False,False,False,Giants,False,False
Malormun the Icelord,31,46,1030,45,33,Alive,235,250,170,Glormarg the Icelord,Imelorn the Dwarf,SW,Night,10,False,False,False,Heartstealer,False,False
Varormane the Icelord,50,40,1030,60,33,Alive,243,250,180,Carangresh the Icelord,Kahudrarg the Barbarian,W,Night,10,False,False,False,Heartstealer,False,False
Imgenarg the Giant,16,42,1000,13,34,Alive,239,202,180,Carangrane the Giant,Glormane the Dwarf,S,Dawn,13,False,False,False,Giants,False,False
Thorarg the Giant,17,37,1080,21,34,Alive,235,250,150,Ulformane the Giant,Imgorarg the Dwarf,SW,Night,13,False,False,False,Giants,False,False
Thirium the Icelord,40,44,1080,54,35,Alive,238,250,180,Glormarg the Icelord,Carorthay the Dwarf,SW,Night,10,False,False,False,Heartstealer,False,False
Fenarg the Icelord,40,44,1030,49,37,Alive,215,250,130,Thirium the Icelord,Gludreon the Dwarf,SW,Night,11,False,False,False,Heartstealer,False,False
Imgorarg the Dwarf,15,57,1000,34,38,Alive,145,202,200,-,Luxor the Moonprince,SW,Night,15,False,False,False,Dwarfs,False,False
Torelak the Giant,16,42,1050,17,39,Alive,255,232,180,Imgenarg the Giant,Thelak the Dwarf,S,Dawn,13,False,False,False,Giants,False,False
Torormarg the Dwarf,15,57,1000,31,39,Alive,145,196,150,Imgorarg the Dwarf,Obortharg the Giant,SW,Night,15,False,False,False,Dwarfs,False,False
Ushangrane the Icelord,40,44,1030,55,39,Alive,242,250,170,Thirium the Icelord,Imgorarg the Dwarf,SW,28,10,False,False,False,Heartstealer,False,False
Fangrorn the Icelord,47,34,1000,51,40,Alive,210,250,200,Shareth the Heartstealer,Imorthorn the Fey,N,Night,10,False,False,False,Heartstealer,False,False
Carangresh the Icelord,45,44,1080,62,40,Alive,215,250,180,Thirium the Icelord,Imgorad the Barbarian,SW,Night,10,False,False,False,Heartstealer,False,False
Anvildrak the Giant,15,42,1080,7,41,Alive,235,244,190,Carangrane the Giant,Luxor the Moonprince,E,Night,13,False,False,False,Giants,False,False
Anvarorn the Icelord,47,34,1000,48,41,Alive,187,250,170,Fangrorn the Icelord,Thelak the Dwarf,N,Night,10,False,False,False,Heartstealer,False,False
Hagudril the Dwarf,46,40,1000,44,43,Alive,190,250,160,Carorthay the Dwarf,Ganormarg the Icelord,SE,Night,15,False,False,False,Dwarfs,False,False
Ganigrorn the Giant,16,44,1000,19,44,Alive,180,238,160,Imgenarg the Giant,Anvorthun the Barbarian,N,Night,13,False,False,False,Giants,False,False
Berangrorn the Dwarf,35,42,555,23,44,Alive,180,214,180,Glormane the Dwarf,Carangresh the Icelord,SE,19,15,False,False,False,Dwarfs,False,False
Fenorn the Giant,15,42,1000,8,45,Alive,225,244,190,Anvildrak the Giant,Carorthand the Fey,E,Night,13,False,False,False,Giants,False,False
Sildrorn the Giant,15,42,1050,1,46,Alive,235,244,180,Anvildrak the Giant,Imgorad the Barbarian,E,30,13,False,False,False,Giants,False,False
Carorthay the Dwarf,48,43,1000,52,46,Alive,83,226,180,Lorangrarg the Dwarf,Glormarg the Icelord,SE,23,15,False,False,False,Dwarfs,False,False
Glortharg the Barbarian,13,54,1030,2,49,Alive,199,250,150,Carormand the Barbarian,Torormarg the Dwarf,SE,Night,8,False,False,False,Barbarians,False,False
Thortheon the Barbarian,19,54,1030,17,49,Alive,200,250,160,Carormand the Barbarian,Thormuk the Giant,SE,Night,8,False,False,False,Barbarians,False,False
Glormane the Dwarf,30,49,1100,30,49,Alive,255,250,200,-,Talorthane the Icelord,N,Dawn,15,False,False,False,Dwarfs,False,False
Gloruk the Dwarf,21,50,1230,21,50,Alive,135,208,150,Glormane the Dwarf,Thorthak the Barbarian,SW,Night,15,False,False,False,Dwarfs,False,False
Gludreon the Dwarf,57,44,1000,63,50,Alive,220,244,140,Carorthay the Dwarf,Carorthorn the Fey,SE,Dawn,15,False,False,False,Dwarfs,False,False
Thudrun the Dwarf,46,51,1000,47,52,Alive,151,214,180,Lorangrarg the Dwarf,Imgarorn the Giant,SE,Night,15,False,False,False,Dwarfs,False,False
Torelorn the Dwarf,30,49,1180,32,55,Alive,255,232,140,Glormane the Dwarf,Thangrorn the Giant,N,Dawn,15,False,False,False,Dwarfs,False,False
Thatruk the Dwarf,30,49,1100,35,55,Alive,255,232,160,Torelorn the Dwarf,Torinarg the Barbarian,N,Dawn,15,False,False,False,Dwarfs,False,False
Carormand the Barbarian,22,57,1000,8,56,Alive,195,250,200,-,Lorangrarg the Dwarf,SE,Night,8,False,False,False,Barbarians,False,False
Lorangrarg the Dwarf,47,56,1180,47,56,Alive,215,244,170,Glormane the Dwarf,Carorthane the Fey,NE,28,15,False,False,False,Dwarfs,False,False
Thelak the Dwarf,30,49,1100,23,58,Alive,255,244,150,Torelorn the Dwarf,Glormeon the Giant,N,Dawn,15,False,False,False,Dwarfs,False,False
Imangruk the Dwarf,47,56,1200,49,60,Alive,165,226,150,Lorangrarg the Dwarf,Morildrane the Fey,NE,24,15,False,False,False,Dwarfs,False,False
Gligril the Dwarf,57,63,1100,60,60,Alive,230,250,130,Ulfangrak the Dwarf,Kahudrarg the Barbarian,SW,Night,15,False,False,False,Dwarfs,False,False
Thangrad the Barbarian,19,54,1030,11,61,Alive,235,250,170,Lorangrorn the Barbarian,Thudrun the Dwarf,E,25,8,False,False,False,Barbarians,False,False
Imulorn the Dwarf,32,62,1130,32,62,Alive,255,250,180,Thigrak the Dwarf,Varangrand the Barbarian,N,Dawn,15,False,False,False,Dwarfs,False,False
Thigrak the Dwarf,44,62,1255,44,62,Alive,255,250,190,Glormane the Dwarf,Anvildrak the Giant,N,Dawn,15,False,False,False,Dwarfs,False,False
Lorangrorn the Barbarian,21,56,1000,6,64,Alive,210,250,180,Carormand the Barbarian,Imgorthand the Fey,SE,Night,8,False,False,False,Barbarians,False,False
Varatrarg the Barbarian,21,56,1000,26,66,Alive,121,250,150,Lorangrorn the Barbarian,Ushangrane the Icelord,SE,30,8,False,False,False,Barbarians,False,False
Imelorn the Dwarf,53,66,1130,53,66,Alive,255,250,140,Thigrak the Dwarf,Anvortheon the Barbarian,N,Dawn,15,False,False,False,Dwarfs,False,False
Ulfangrak the Dwarf,61,66,1130,61,66,Alive,255,250,130,Thigrak the Dwarf,Obigrorn the Giant,N,Dawn,15,False,False,False,Dwarfs,False,False
Thorthak the Barbarian,13,62,1030,1,67,Alive,195,226,170,Imgorad the Barbarian,Glortheon the Giant,NE,Night,9,False,False,False,Barbarians,False,False
Thormand the Fey,27,79,1180,29,67,Alive,230,250,180,Imorthorn the Fey,Kahangrorn the Icelord,SW,Night,6,False,False,False,Fey,False,False
Anvorthun the Barbarian,15,61,1030,7,70,Alive,239,250,140,Imgorad the Barbarian,Berangrorn the Dwarf,NE,Night,8,False,False,False,Barbarians,False,False
Imgormand the Fey,41,75,1080,42,71,Alive,239,226,150,Morildrane the Fey,Imgorarg the Dwarf,NW,Night,6,False,False,False,Fey,False,False
Carorthorn the Fey,59,71,1130,59,71,Alive,255,250,180,Lorangriel the Fey,Varormane the Icelord,N,Dawn,6,False,False,False,Fey,False,False
Imgorad the Barbarian,11,65,1000,2,74,Alive,239,250,200,-,Carangrane the Giant,SW,Night,8,False,False,False,Barbarians,False,False
Tororthane the Fey,29,78,1080,35,74,Alive,226,250,150,Imorthorn the Fey,Malormun the Icelord,SW,Night,7,False,False,False,Fey,False,False
Imorthorn the Fey,22,84,1100,31,75,Alive,227,250,200,-,Shareth the Heartstealer,SW,Night,6,False,False,False,Fey,False,False
Berormorn the Fey,21,80,1100,17,77,Alive,225,250,160,Carorthane the Fey,Kahangriel the Icelord,E,Night,6,False,False,False,Fey,False,False
Firak the Barbarian,11,65,1000,7,79,Alive,231,250,140,Imgorad the Barbarian,Thigrak the Dwarf,W,Night,8,False,False,False,Barbarians,False,False
Morildrane the Fey,45,79,1100,45,79,Alive,255,220,200,Lorangriel the Fey,Tarithel the Fey,E,Dawn,6,False,False,False,Fey,False,False
Thigrand the Fey,24,80,1050,28,80,Alive,217,250,150,Carorthane the Fey,Malirane the Icelord,E,Night,7,False,False,False,Fey,False,False
Kahudrarg the Barbarian,11,73,1000,11,81,Alive,215,214,180,Imgorad the Barbarian,Luxor the Moonprince,SW,Night,8,False,False,False,Barbarians,False,False
Lorangriel the Fey,50,77,1200,54,81,Alive,225,238,190,Imgorthand the Fey,Malisane the Icelord,NW,Night,6,False,False,False,Fey,False,False
Carorthane the Fey,22,84,1180,20,82,Alive,223,250,170,Imorthorn the Fey,Glormarg the Icelord,S,Night,6,False,False,False,Fey,False,False
Thorthand the Fey,50,81,1100,49,84,Alive,240,250,130,Lorangriel the Fey,Imgorarg the Dwarf,N,Night,7,False,False,False,Fey,False,False
Berormane the Fey,50,78,1050,42,87,Alive,215,232,160,Lorangrim the Fey,Zarashand the Icelord,N,30,6,False,False,False,Fey,False,False
Imgormiel the Fey,50,74,1000,57,87,Alive,166,226,110,Imgorthand the Fey,Kahudrak the Barbarian,SW,Night,7,False,False,False,Fey,False,False
Careneon the Barbarian,17,71,1000,10,88,Alive,159,220,140,Kahudrarg the Barbarian,Thorarg the Giant,NE,Night,9,False,False,False,Barbarians,False,False
Varangrand the Barbarian,11,73,1000,17,88,Alive,223,208,160,Kahudrarg the Barbarian,Thigrak the Dwarf,W,Night,8,False,False,False,Barbarians,False,False
Imgorthand the Fey,38,80,1000,62,88,Alive,190,250,190,Imorthorn the Fey,Glireon the Icelord,SW,Night,6,False,False,False,Fey,False,False
Lorangrim the Fey,45,80,1080,46,90,Alive,235,250,150,Imgorthand the Fey,Imgaril the Icelord,W,Night,6,False,False,False,Fey,False,False
Tharand the Fey,22,87,1080,27,93,Alive,230,250,130,Carorthane the Fey,Anvarorn the Icelord,N,Night,7,False,False,False,Fey,False,False
Torinarg the Barbarian,17,79,535,2,94,Alive,223,250,180,Careneon the Barbarian,Ulformane the Giant,NE,Night,8,False,False,False,Barbarians,False,False
Imorthesh the Fey,45,80,1030,48,94,Alive,235,250,150,Lorangrim the Fey,Lorelorn the Icelord,W,Night,6,False,False,False,Fey,False,False
Anvortheon the Barbarian,17,74,1000,14,95,Alive,223,202,160,Careneon the Barbarian,Hagudril the Dwarf,N,Night,8,False,False,False,Barbarians,False,False
Obireon the Fey,56,88,1080,63,95,Alive,219,250,170,Imgorthand the Fey,Carorthad the Icelord,NW,Night,6,False,False,False,Fey,False,False
Obigrorn the Giant,16,25,1030,13,25,Alive,239,238,190,Varangrim the Giant,Thatruk the Dwarf,N,Night,13,False,False,False,Giants,False,False
Imgasharg the Icelord,47,34,1030,35,25,Alive,239,250,170,Berudrarg the Icelord,Thormand the Fey,S,Night,11,False,False,False,Heartstealer,False,False
Thangrarg the Icelord,47,39,1000,43,25,Alive,247,250,180,Glireon the Icelord,Imorthesh the Fey,S,Dawn,11,False,False,False,Heartstealer,False,False
Kahudrak the Barbarian,21,59,1030,19,72,Alive,219,220,180,Lorangrorn the Barbarian,Berormane the Fey,NE,Night,8,False,False,False,Barbarians,False,False
Carorthand the Fey,22,81,1080,28,73,Alive,235,250,190,Imorthorn the Fey,Talormane the Icelord,SW,Night,6,False,False,False,Fey,False,False
